Entity identifier,Entity names,nacionalidade,participação,idno-evento
ent_chenchieh-jen,Chen Chieh-jen,Taiwan (Nacionalidade),"(ev_2230)  Convidado 
   (Eventos➔29 Bienal de São Paulo➔Terreiro: Eu Sou a Rua )",ev_2230
ent_chengpaochiau,Cheng Pao Chiau,China (Nacionalidade),"(ev_1512)  Representação Nacional 
 > China  (Eventos➔15 Bienal de São Paulo➔Sala Especial: Pintura Popular Chinesa )",ev_1512
ent_chengshihfa,Cheng Shih Fa,China (Nacionalidade),"(ev_1512)  Representação Nacional 
 > China  (Eventos➔15 Bienal de São Paulo➔Sala Especial: Pintura Popular Chinesa )",ev_1512
ent_chengyuehpo,Cheng Yueh Po,China (Nacionalidade),"(ev_1022)  Representação Nacional 
 > China  (Eventos➔05 Bienal de São Paulo➔Sala Especial: 4.000 Anos de Arte na China )",ev_1022
ent_chenhengke,Chen Heng Ke,China (Nacionalidade),"(ev_1512)  Representação Nacional 
 > China  (Eventos➔15 Bienal de São Paulo➔Sala Especial: Pintura Popular Chinesa )",ev_1512
ent_chenhung-gien,Chen Hung-Gien,China (Nacionalidade),"(ev_0997)  Representação Nacional 
 > China  (Eventos➔04 Bienal de São Paulo➔Sala Geral )",ev_0997
ent_chenquan,Chen Quan,China (Nacionalidade),"(ev_1512)  Representação Nacional 
 > China  (Eventos➔15 Bienal de São Paulo➔Sala Especial: Pintura Popular Chinesa )",ev_1512
ent_chensha-yi,Chen Sha-Yi,China (Nacionalidade),"(ev_0997)  Representação Nacional 
 > China  (Eventos➔04 Bienal de São Paulo➔Sala Geral )",ev_0997
ent_chenshaofeng,Chen Shaofeng,China (Nacionalidade),"(ev_2130)  Convidado 
  ",ev_2130
ent_chentancheng,Chen Tan Cheng,China (Nacionalidade),"(ev_1022)  Representação Nacional 
 > China  (Eventos➔05 Bienal de São Paulo➔Sala Especial: 4.000 Anos de Arte na China )",ev_1022
ent_chentao-ming,Chen Tao-Ming,China (Nacionalidade),"(ev_1022)  Representação Nacional 
 > China  (Eventos➔05 Bienal de São Paulo➔Sala Geral ); (ev_1175)  Representação Nacional 
 > China  (Eventos➔08 Bienal de São Paulo➔Sala Geral )",ev_1022; ev_1175
ent_chenting-shin,Chen Ting-Shin,China (Nacionalidade),"(ev_1022)  Representação Nacional 
 > China  (Eventos➔05 Bienal de São Paulo➔Sala Geral ); (ev_1052)  Representação Nacional 
 > China ; (ev_1127)  Representação Nacional 
 > China  (Eventos➔07 Bienal de São Paulo➔Sala Geral ); (ev_1175)  Representação Nacional 
 > China  (Eventos➔08 Bienal de São Paulo➔Sala Geral ); (ev_1322)  Representação Nacional 
 > China ",ev_1022; ev_1052; ev_1127; ev_1175; ev_1322
ent_chentsunfu,Chen Tsun Fu,China (Nacionalidade),"(ev_1022)  Representação Nacional 
 > China  (Eventos➔05 Bienal de São Paulo➔Sala Especial: 4.000 Anos de Arte na China )",ev_1022
ent_chentzuyi,Chen Tzu Yi,China (Nacionalidade),"(ev_1512)  Representação Nacional 
 > China  (Eventos➔15 Bienal de São Paulo➔Sala Especial: Pintura Popular Chinesa )",ev_1512
ent_cheonglaitong,Cheong Laitong,Malásia (Nacionalidade),"(ev_1259)  Representação Nacional 
 > Malásia ",ev_1259
ent_cherifdefraoui,Chérif Defraoui,Suíça (Nacionalidade),"(ev_1476)  Representação Nacional 
 > Suíça  (Eventos➔14 Bienal de São Paulo➔Proposições Contemporâneas )",ev_1476; ev_1476
ent_cherisamba,Chéri Samba,República Democrática do Congo (Nacionalidade),"(ev_2033)  Representação Nacional 
 > República Democrática do Congo ",ev_2033
ent_chewkiatlim,Chew Kiat Lim,Malásia (Nacionalidade),"(ev_1259)  Representação Nacional 
 > Malásia ",ev_1259
ent_chhabdabal,Bal Chhabda,Índia (Nacionalidade),"(ev_1226)  Representação Nacional 
 > Índia  (Eventos➔09 Bienal de São Paulo➔Sala Geral )",ev_1226
ent_chianghan-tung,Chiang Han-Tung,China (Nacionalidade),"(ev_1175)  Representação Nacional 
 > China  (Eventos➔08 Bienal de São Paulo➔Sala Geral )",ev_1175
ent_chiangshian-ell,Chiang Shian-Ell,China (Nacionalidade),"(ev_1127)  Representação Nacional 
 > China  (Eventos➔07 Bienal de São Paulo➔Sala Geral )",ev_1127
ent_chiaradiamantini,Chiara Diamantini,Itália (Nacionalidade),"(ev_1522)  Convidado 
   (Eventos➔16 Bienal de São Paulo➔Núcleo I ); (ev_1749)  Convidado 
   (Eventos➔22 Bienal de São Paulo➔Eventos Paralelos➔Photoidea )",ev_1522; ev_1749
ent_chiarlonebruno,Chiarlone Bruno,Itália (Nacionalidade),"(ev_1522)  Convidado 
   (Eventos➔16 Bienal de São Paulo➔Núcleo I )",ev_1522
ent_chicodantas,Chico Dantas,Brasil (Nacionalidade),"(ev_1522)  Convidado 
   (Eventos➔16 Bienal de São Paulo➔Núcleo I )",ev_1522
ent_chicodasilva,Chico da Silva,Brasil (Nacionalidade),"(ev_1500)  Selecionado 
  ; (ev_1645)  Selecionado 
  ",ev_1500; ev_1645
ent_chicosilva,Chico Silva,Brasil (Nacionalidade),"(ev_1226)  Selecionado 
   (Eventos➔09 Bienal de São Paulo➔Sala Geral )",ev_1226
ent_chicovieira,Chico Vieira,Brasil (Nacionalidade),"(ev_1469)  Inscrição Espontânea 
  ",ev_1469
ent_chicozorzete,Chico Zorzete,,"(ev_1596)  Convidado 
  ",ev_1596
ent_chiehjenchen,Chieh Jen Chen,Taiwan (Nacionalidade),"(ev_1877)  Convidado 
   (Eventos➔24 Bienal de São Paulo➔Roteiros )",ev_1877
ent_chien-chichang,Chien-Chi Chang,Taiwan (Nacionalidade),"(ev_2033)  Representação Nacional 
 > Taiwan ",ev_2033
ent_chien-chungli,Chien-Chung Li,China (Nacionalidade),"(ev_1259)  Representação Nacional 
 > China ; (ev_1322)  Representação Nacional 
 > China ",ev_1259; ev_1322
ent_chihiroshimotani,Chihiro Shimotani,Japão (Nacionalidade),"(ev_1387)  Representação Nacional 
 > Japão ; (ev_1512)  Homenageado 
   (Eventos➔15 Bienal de São Paulo➔Sala Especial: Premiados em Edições Anteriores )",ev_1387; ev_1512; ev_1387
ent_chikkamorita,Chikka Morita,Japão (Nacionalidade),"(ev_1052)  Representação Nacional 
 > Japão  (Eventos➔06 Bienal de São Paulo➔Sala Especial: Caligrafia Japonesa )",ev_1052
ent_chikkydelatorre,Chikky De la Torre,Equador (Nacionalidade),"(ev_1500)  Representação Nacional 
 > Equador ",ev_1500; ev_1749
ent_chimeihamada,Chimei Hamada,Japão (Nacionalidade),"(ev_0954)  Representação Nacional 
 > Japão  (Eventos➔02 Bienal de São Paulo➔Sala Geral )",ev_0954
ent_chimpom,Chim Pom,Japão (Nacionalidade),"(ev_2230)  Convidado 
   (Eventos➔29 Bienal de São Paulo➔Terreiro: Eu Sou a Rua )",ev_2230
ent_chin-tienyang,Chin-Tien Yang,China (Nacionalidade),"(ev_1127)  Representação Nacional 
 > China  (Eventos➔07 Bienal de São Paulo➔Sala Geral )",ev_1127
ent_ching-janyao,Ching-Jan Yao,China (Nacionalidade),"(ev_1259)  Representação Nacional 
 > China ",ev_1259
ent_chinguiskendgebayev,Chinguis Kendgebayev,União Soviética (Nacionalidade),"(ev_1052)  Representação Nacional 
 > União Soviética ",ev_1052
ent_chinjun-tso,Chin Jun-Tso,China (Nacionalidade),"(ev_0997)  Representação Nacional 
 > China  (Eventos➔04 Bienal de São Paulo➔Sala Geral )",ev_0997
ent_chinsung,Chin Sung,China (Nacionalidade),"(ev_1022)  Representação Nacional 
 > China  (Eventos➔05 Bienal de São Paulo➔Sala Geral )",ev_1022; ev_1022
ent_chintamonikar,Chintamoni Kar,Índia (Nacionalidade),"(ev_1127)  Representação Nacional 
 > Índia  (Eventos➔07 Bienal de São Paulo➔Sala Geral )",ev_1127
ent_chipaishin,Chi Pai Shin,China (Nacionalidade),"(ev_1512)  Representação Nacional 
 > China  (Eventos➔15 Bienal de São Paulo➔Sala Especial: Pintura Popular Chinesa )",ev_1512
ent_chiplord,Chip Lord,Estados Unidos (Nacionalidade),"(ev_1578)  Representação Nacional 
 > Estados Unidos  (Eventos➔18 Bienal de São Paulo➔Exposições Especiais➔Vídeoarte - Uma Comunicação Criativa )",ev_1578
ent_chiuyin,Chiu Yin,China (Nacionalidade),"(ev_1512)  Representação Nacional 
 > China  (Eventos➔15 Bienal de São Paulo➔Sala Especial: Pintura Popular Chinesa )",ev_1512
ent_chmartin,Ch. Martin,Brasil (Nacionalidade),"(ev_0954)  Representação Nacional 
 > Brasil  (Eventos➔02 Bienal de São Paulo➔Sala Especial: A Paisagem Brasileira até 1900 )",ev_0954
ent_choijeonghwa,Choi Jeong Hwa,Coreia do Sul (Nacionalidade),"(ev_1877)  Convidado 
   (Eventos➔24 Bienal de São Paulo➔Roteiros )",ev_1877
ent_chokosaieisho,Chokosai Eisho,Japão (Nacionalidade),"(ev_1022)  Representação Nacional 
 > Japão  (Eventos➔05 Bienal de São Paulo➔Sala Especial: Ukiyo-ê )",ev_1022
ent_chong-baepark,Chong-Bae Park,Coreia do Sul (Nacionalidade),"(ev_1226)  Representação Nacional 
 > Coreia do Sul  (Eventos➔09 Bienal de São Paulo➔Sala Geral ); (ev_1438)  Representação Nacional 
 > Coreia do Sul ",ev_1226; ev_1438
ent_chong-haklee,Chong-Hak Lee,Coreia do Sul (Nacionalidade),"(ev_1554)  Representação Nacional 
 > Coreia do Sul  (Eventos➔17 Bienal de São Paulo➔Núcleo I )",ev_1554
ent_chong-wkoh,Chong-Wk Oh,Coreia do Sul (Nacionalidade),"(ev_1322)  Representação Nacional 
 > Coreia do Sul ",ev_1322
ent_chong-yocklee,Chong-Yock Lee,Coreia do Sul (Nacionalidade),"(ev_1259)  Representação Nacional 
 > Coreia do Sul ",ev_1259
ent_chong-yungkim,Chong-Yung Kim,Coreia do Sul (Nacionalidade),"(ev_1175)  Representação Nacional 
 > Coreia do Sul  (Eventos➔08 Bienal de São Paulo➔Sala Geral )",ev_1175
ent_chonghakkim,Chong Hak Kim,Coreia do Sul (Nacionalidade),"(ev_1387)  Representação Nacional 
 > Coreia do Sul ; (ev_1438)  Representação Nacional 
 > Coreia do Sul ",ev_1387; ev_1438
ent_choong-heumpark,Choong Heum Park,Coreia do Sul (Nacionalidade),"(ev_1628)  Representação Nacional 
 > Coreia do Sul  (Eventos➔19 Bienal de São Paulo➔Exposição Geral )",ev_1628
ent_choucaisalouaraouda,Choucair Saloua Raouda,Líbano (Nacionalidade),"(ev_1226)  Representação Nacional 
 > Líbano  (Eventos➔09 Bienal de São Paulo➔Sala Geral )",ev_1226
ent_chouota,Chou Ota,Japão (Nacionalidade),"(ev_0935)  Representação Nacional 
 > Japão  (Eventos➔01 Bienal de São Paulo➔Seção Geral )",ev_0935
